step,len,xcorr,ifft
1,15,0.001743,0.000225
2,20,0.004644,0.00028
3,100,0.001273,0.000176
4,200,0.007432,0.000851
5,500,0.00045,0.000146
6,750,0.000462,0.000179
7,1000,0.000425,0.000221
8,1500,0.000588,0.000271
9,2000,0.00059,0.00031
10,5000,0.001584,0.000588
11,10000,0.00295,0.001
12,15000,0.003012,0.001603
13,20000,0.012028,0.00207
14,25000,0.005933,0.00305
15,35000,0.013419,0.003639
16,50000,0.011177,0.004933
17,75000,0.022997,0.007157
18,100000,0.022606,0.009109
19,250000,0.052087,0.024857
20,500000,0.11005,0.050957
21,750000,0.22715,0.079078
22,1000000,0.23715,0.1077
23,2000000,0.48317,0.19447
24,3000000,1.0073,0.32579
25,4000000,1.0878,0.45324
26,5000000,1.1607,0.5603
27,6000000,1.16,0.70231
28,7000000,1.177,0.83934
29,8000000,1.1867,0.90598
